# NZ6 dispatch trace (NOVAZ_SMOKE_TRACE_NZ6)
# regenerate: make -C examples/novaz capture-z6-trace PROJECT=zork-zero
# nz6_entry=$2002 zvm_erase_line=$E6DF zvm_set_text_style=$E32F zvm_buffer_mode=$E386
# <seq> <id> <opname> count=<n> ops=<op0>,<op1>,<op2>,<op3>  (ops hex; id '--' = ROM-side hook)
219 0A cr_newline count=0 ops=0079,0001,0003,0084
220 0A cr_newline count=0 ops=0079,0001,0003,0084
221 0A cr_newline count=0 ops=0001,0001,0003,0084
222 0A cr_newline count=1 ops=02FD,0023,0039,00A3
223 28 set_margins count=2 ops=0000,0000,003C,00A3
224 0A cr_newline count=0 ops=0001,0023,0001,0003
225 0A cr_newline count=0 ops=0002,0002,0015,0001
226 0A cr_newline count=0 ops=0002,0002,0015,0001
227 0A cr_newline count=0 ops=0002,0002,0015,0001
228 0A cr_newline count=0 ops=0002,0002,0015,0001
229 0A cr_newline count=0 ops=0002,0002,0015,0001
230 0A cr_newline count=0 ops=0002,0002,0015,0001
231 0A cr_newline count=0 ops=0002,0002,0015,0001
232 0A cr_newline count=0 ops=0002,0002,0015,0001
233 0A cr_newline count=0 ops=0002,0002,0015,0001
234 0A cr_newline count=0 ops=00D3,0001,0015,0001
235 0A cr_newline count=0 ops=00D3,0001,0015,0001
236 0A cr_newline count=0 ops=0001,0004,0000,0001
237 02 set_window count=1 ops=0001,0004,0000,0001
238 04 set_cursor count=2 ops=0002,000A,0000,0001
239 06 set_colour count=2 ops=0002,FFFF,0000,0001
240 04 set_cursor count=2 ops=0004,0012,0000,0001
241 04 set_cursor count=2 ops=0004,0012,0000,0001
242 06 set_colour count=2 ops=0002,0009,0000,0001
243 02 set_window count=1 ops=0000,0009,0000,0001
--- turn: inventory
244 0A cr_newline count=2 ops=6CB4,0000,0000,0001
245 38 push_stack count=2 ops=0001,696C,0014,000A
246 07 pull count=1 ops=696C,696C,0022,000A
247 07 pull count=0 ops=0000,0000,0022,000A
248 38 push_stack count=2 ops=0001,696C,0022,000A
249 38 push_stack count=2 ops=0001,69C0,0003,0000
250 07 pull count=1 ops=696C,696C,0003,0000
251 07 pull count=0 ops=0000,0000,0003,0000
252 38 push_stack count=2 ops=0001,696C,0003,0000
253 38 push_stack count=2 ops=0007,696C,0002,0000
254 07 pull count=1 ops=696C,696C,0002,0000
255 07 pull count=0 ops=0000,0000,0002,0000
256 38 push_stack count=2 ops=0007,696C,0002,0000
257 38 push_stack count=2 ops=0001,69C0,B82C,0000
258 07 pull count=1 ops=696C,696C,B82C,0000
259 07 pull count=0 ops=0000,0000,B82C,0000
260 38 push_stack count=2 ops=0007,696C,B82C,0000
261 38 push_stack count=2 ops=0027,696C,0004,0000
262 07 pull count=1 ops=696C,696C,0004,0000
263 07 pull count=0 ops=0000,0000,0004,0000
